		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    3    5    3    6    3    2    7    8 30.744462 0.000156 FAILURE   0
000000011    0    6    1    2    2    2    2    9 27.384915 0.000607 FAILURE   1
000000101    5    2    3    4    4    2    5    3  8.147782 0.419169 SUCCESS   2
000000111    3    4    3    2    6    4    6    5 16.088229 0.041135 SUCCESS   3
000001001    7    4    4    4    1    4    5    2 16.809787 0.032152 SUCCESS   4
000001011    2    2    3    6    3    4    4    3  8.084894 0.425222 SUCCESS   5
000001101    6    4    2    2    3    1    0    5 12.917346 0.114725 SUCCESS   6
000001111    4    2    3    1    4    2    5    3  6.201561 0.624665 SUCCESS   7
000010001    1    4    7    4    4    1    3    3 14.016233 0.081343 SUCCESS   8
000010011    5    5    3    6    3    3    5    4 15.303783 0.053501 SUCCESS   9
000010101    1    1    5    5    3    2    4    4  9.653786 0.290171 SUCCESS  10
000010111    0    4    5    6    2    3    4    2 13.106011 0.108254 SUCCESS  11
000011001    3    3    4    3    3    7    6    3 16.025341 0.042019 SUCCESS  12
000011011    4    2    0    3    2    0    0    2  8.899129 0.350877 SUCCESS  13
000011101    1    2    2    2    6    5    3    2  9.528010 0.299727 SUCCESS  14
000011111    1    1    1    1    1    3    5    4  8.303347 0.404413 SUCCESS  15
000100011    0    5    7    1    2    1    3    8 29.268247 0.000284 FAILURE  16
000100101    4    2    1    4    1    5    2    2  6.860231 0.551785 SUCCESS  17
000100111    5    2    3    3    5    2    2    4  7.174672 0.517910 SUCCESS  18
000101001    4    1    2    0    3    4    3    2  5.887121 0.659874 SUCCESS  19
000101011    2    1    3    3    5    2    2    2  4.255341 0.833382 SUCCESS  20
000101101    2    3    1    4    5    2    2    2  5.165563 0.739743 SUCCESS  21
000101111    0    3    1    4    1    4    1    1  8.177571 0.416320 SUCCESS  22
